,fit_time,score_time,test_score,train_score
Decision Tree,0.012 (+/- 0.001),0.004 (+/- 0.003),0.778 (+/- 0.037),0.960 (+/- 0.014)
SVC,0.008 (+/- 0.003),0.005 (+/- 0.003),0.849 (+/- 0.040),0.875 (+/- 0.007)
Logistic Regression,0.012 (+/- 0.001),0.006 (+/- 0.001),0.858 (+/- 0.053),0.881 (+/- 0.009)
