,fit_time,score_time,test_score,train_score
Decision Tree,0.019 (+/- 0.002),0.010 (+/- 0.002),0.778 (+/- 0.037),0.960 (+/- 0.014)
SVC,0.020 (+/- 0.003),0.011 (+/- 0.002),0.849 (+/- 0.040),0.875 (+/- 0.007)
Logistic Regression,0.025 (+/- 0.005),0.012 (+/- 0.001),0.858 (+/- 0.053),0.881 (+/- 0.009)
