,fit_time,score_time,test_score,train_score
Dummy,0.017 (+/- 0.001),0.009 (+/- 0.002),0.543 (+/- 0.007),0.542 (+/- 0.002)
Decision tree,0.020 (+/- 0.003),0.010 (+/- 0.002),0.713 (+/- 0.048),1.000 (+/- 0.000)
SVC,0.019 (+/- 0.002),0.010 (+/- 0.000),0.844 (+/- 0.043),0.929 (+/- 0.017)
Logistic Regression,0.021 (+/- 0.003),0.009 (+/- 0.000),0.849 (+/- 0.027),0.889 (+/- 0.015)
